season,team_api_id,time,total_gols_scored,total_partidas,media_gols_partida
2012/2013,9788,Borussia Mönchengladbach,45,272,0.16544117647058823
2013/2014,10217,ADO Den Haag,45,272,0.16544117647058823
2013/2014,9791,Heracles Almelo,45,272,0.16544117647058823
2015/2016,10205,Villarreal CF,44,266,0.16541353383458646
2015/2016,10261,Newcastle United,44,266,0.16541353383458646
2014/2015,8654,West Ham United,44,266,0.16541353383458646
2013/2014,8066,Inverness Caledonian Thistle,44,266,0.16541353383458646
2011/2012,10212,CS Marítimo,41,248,0.16532258064516128
2013/2014,10238,Vitória Setúbal,41,248,0.16532258064516128
2010/2011,9768,Sporting CP,41,248,0.16532258064516128
2015/2016,9994,Sporting Lokeren,35,212,0.1650943396226415
2015/2016,8636,Inter,50,303,0.16501650165016502
2012/2013,9986,Sporting Charleroi,30,182,0.16483516483516483
2012/2013,9984,KSV Cercle Brugge,30,182,0.16483516483516483
2008/2009,8305,Getafe CF,50,304,0.16447368421052633
2009/2010,8315,Athletic Club de Bilbao,50,304,0.16447368421052633
2011/2012,8668,Everton,50,304,0.16447368421052633
2009/2010,9847,Paris Saint-Germain,50,304,0.16447368421052633
2015/2016,9827,Girondins de Bordeaux,50,304,0.16447368421052633
2014/2015,10179,FC Sion,47,286,0.16433566433566432
2010/2011,10179,FC Sion,47,286,0.16433566433566432
2008/2009,9810,Eintracht Frankfurt,39,238,0.1638655462184874
2013/2014,8524,Atalanta,43,263,0.1634980988593156
2008/2009,9857,Bologna,43,263,0.1634980988593156
2010/2011,8535,Fiorentina,49,300,0.16333333333333333
2012/2013,8529,Cagliari,43,264,0.16287878787878787
2009/2010,8371,CA Osasuna,37,228,0.16228070175438597
2015/2016,8581,Levante UD,37,228,0.16228070175438597
2013/2014,9873,Valenciennes FC,37,228,0.16228070175438597
2013/2014,9874,FC Sochaux-Montbéliard,37,228,0.16228070175438597
2011/2012,8245,Korona Kielce,34,210,0.1619047619047619
2010/2011,8245,Korona Kielce,34,210,0.1619047619047619
2014/2015,8245,Korona Kielce,34,210,0.1619047619047619
2012/2013,8525,Willem II,33,204,0.16176470588235295
2009/2010,10228,SC Heerenveen,44,272,0.16176470588235295
2009/2010,8226,TSG 1899 Hoffenheim,44,272,0.16176470588235295
2014/2015,10217,ADO Den Haag,44,272,0.16176470588235295
2009/2010,8722,1. FC Köln,33,204,0.16176470588235295
2015/2016,8564,Milan,49,303,0.1617161716171617
2013/2014,10261,Newcastle United,43,266,0.16165413533834586
2011/2012,8467,St. Johnstone FC,43,266,0.16165413533834586
2013/2014,8659,West Bromwich Albion,43,266,0.16165413533834586
2012/2013,9882,Sampdoria,43,266,0.16165413533834586
2010/2011,8654,West Ham United,43,266,0.16165413533834586
2014/2015,6403,FC Paços de Ferreira,40,248,0.16129032258064516
2011/2012,7844,Vitória Guimarães,40,248,0.16129032258064516
2015/2016,10214,CD Nacional,40,248,0.16129032258064516
2015/2016,10238,Vitória Setúbal,40,248,0.16129032258064516
2013/2014,10212,CS Marítimo,40,248,0.16129032258064516
2008/2009,9847,Paris Saint-Germain,49,304,0.1611842105263158
2010/2011,8305,Getafe CF,49,304,0.1611842105263158
2015/2016,10260,Manchester United,49,304,0.1611842105263158
2011/2012,9927,Motherwell,49,304,0.1611842105263158
2011/2012,9853,AS Saint-Étienne,49,304,0.1611842105263158
2013/2014,9827,Girondins de Bordeaux,49,304,0.1611842105263158
2011/2012,8315,Athletic Club de Bilbao,49,304,0.1611842105263158
2012/2013,9941,Toulouse FC,49,304,0.1611842105263158
2013/2014,8028,Piast Gliwice,29,180,0.16111111111111112
2011/2012,10199,FC Luzern,46,286,0.16083916083916083
2010/2011,8203,KV Mechelen,34,212,0.16037735849056603
2009/2010,8535,Fiorentina,48,300,0.16
2010/2011,2033,S.C. Olhanense,24,150,0.16
2009/2010,9857,Bologna,42,263,0.1596958174904943
2008/2009,9803,Roda JC Kerkrade,38,238,0.15966386554621848
2011/2012,10001,KVC Westerlo,29,182,0.15934065934065933
2011/2012,10233,Genoa,48,302,0.15894039735099338
2010/2011,1957,Jagiellonia Białystok,38,240,0.15833333333333333
2013/2014,10265,Wisła Kraków,38,240,0.15833333333333333
2013/2014,8030,Lechia Gdańsk,38,240,0.15833333333333333
2013/2014,8025,Śląsk Wrocław,38,240,0.15833333333333333
2009/2010,9904,Hannover 96,43,272,0.15808823529411764
2009/2010,9788,Borussia Mönchengladbach,43,272,0.15808823529411764
2010/2011,8721,VfL Wolfsburg,43,272,0.15808823529411764
2010/2011,9829,AS Monaco,36,228,0.15789473684210525
2010/2011,9993,Beerschot AC,24,152,0.15789473684210525
2014/2015,8668,Everton,48,304,0.15789473684210525
2012/2013,9851,Stade Rennais FC,48,304,0.15789473684210525
2010/2011,10252,Aston Villa,48,304,0.15789473684210525
2008/2009,8429,Hamilton Academical FC,30,190,0.15789473684210525
2009/2010,8472,Sunderland,48,304,0.15789473684210525
2015/2016,8472,Sunderland,48,304,0.15789473684210525
2011/2012,8066,Inverness Caledonian Thistle,42,266,0.15789473684210525
2008/2009,8654,West Ham United,42,266,0.15789473684210525
2015/2016,8592,Olympique de Marseille,48,304,0.15789473684210525
2011/2012,8302,Sevilla FC,48,304,0.15789473684210525
2014/2015,10194,Stoke City,48,304,0.15789473684210525
2013/2014,8689,FC Lorient,48,304,0.15789473684210525
2010/2011,10190,FC St. Gallen,34,216,0.1574074074074074
2008/2009,10199,FC Luzern,45,286,0.15734265734265734
2010/2011,9956,Grasshopper Club Zürich,45,286,0.15734265734265734
2013/2014,10264,SC Braga,39,248,0.15725806451612903
2015/2016,8020,Polonia Bytom,33,210,0.15714285714285714
2015/2016,8524,Atalanta,41,263,0.155893536121673
2009/2010,9987,KRC Genk,33,212,0.15566037735849056
2015/2016,8464,N.E.C.,37,238,0.15546218487394958
2014/2015,8558,RCD Espanyol,47,304,0.15460526315789475
2008/2009,8689,FC Lorient,47,304,0.15460526315789475
2015/2016,8689,FC Lorient,47,304,0.15460526315789475
2013/2014,9851,Stade Rennais FC,47,304,0.15460526315789475
2014/2015,9827,Girondins de Bordeaux,47,304,0.15460526315789475
2008/2009,9938,Dundee United,47,304,0.15460526315789475
2011/2012,8650,Liverpool,47,304,0.15460526315789475
2008/2009,8315,Athletic Club de Bilbao,47,304,0.15460526315789475
2012/2013,10252,Aston Villa,47,304,0.15460526315789475
2015/2016,9927,Motherwell,47,304,0.15460526315789475
2014/2015,10269,VfB Stuttgart,42,272,0.15441176470588236
2014/2015,10189,FC Schalke 04,42,272,0.15441176470588236
2010/2011,8277,Vitesse,42,272,0.15441176470588236
2013/2014,8697,SV Werder Bremen,42,272,0.15441176470588236
2012/2013,9790,Hamburger SV,42,272,0.15441176470588236
2012/2013,8226,TSG 1899 Hoffenheim,42,272,0.15441176470588236
2010/2011,8030,Lechia Gdańsk,37,240,0.15416666666666667
2015/2016,1601,Ruch Chorzów,37,240,0.15416666666666667
2010/2011,2182,Lech Poznań,37,240,0.15416666666666667
2015/2016,2182,Lech Poznań,37,240,0.15416666666666667
2015/2016,1957,Jagiellonia Białystok,37,240,0.15416666666666667
2009/2010,9986,Sporting Charleroi,28,182,0.15384615384615385
2008/2009,10179,FC Sion,44,286,0.15384615384615385
2009/2010,10001,KVC Westerlo,28,182,0.15384615384615385
2009/2010,9783,RC Deportivo de La Coruña,35,228,0.15350877192982457
2013/2014,8581,Levante UD,35,228,0.15350877192982457
