player_api_id,player_name,altura,peso_incial,peso_final,primeira_data,primeiro_overall,ultima_data,ultimo_overall,idade_inicial,idade_final,evolucao
32711,Jamie Hamill,172.72,157,157,2007-02-22,51.0,2016-03-10,67.0,20,29,16.0
32713,Cameron Bell,180.34,174,174,2007-02-22,53.0,2015-02-27,64.0,20,28,11.0
32714,Jamie Adams,185.42,150,150,2007-02-22,50.0,2013-03-22,58.0,19,25,8.0
32717,Ryan O'Leary,182.88,165,165,2007-02-22,52.0,2012-08-31,61.0,19,25,9.0
32725,David Mackay,185.42,179,179,2007-02-22,64.0,2015-12-03,66.0,26,35,2.0
32728,Robert Snodgrass,182.88,170,170,2007-02-22,62.0,2016-04-21,74.0,19,28,12.0
32730,Martin Scott,180.34,154,154,2007-02-22,63.0,2013-07-05,60.0,21,27,-3.0
32732,James McPake,187.96,176,176,2007-02-22,59.0,2016-01-07,63.0,22,31,4.0
32734,Graham Dorrans,175.26,161,161,2007-02-22,46.0,2016-01-07,74.0,19,28,28.0
32745,Ivica Banovic,185.42,170,170,2007-02-22,73.0,2014-02-21,67.0,26,33,-6.0
32746,Morgan De Sanctis,190.5,181,181,2007-02-22,80.0,2016-02-18,77.0,29,38,-3.0
32747,Fabrizio Miccoli,167.64,161,161,2007-02-22,79.0,2013-06-14,81.0,27,33,2.0
32748,Antonio Cassano,175.26,176,176,2007-02-22,83.0,2016-05-05,79.0,24,33,-4.0
32749,Marco Di Vaio,180.34,172,172,2007-02-22,84.0,2014-09-26,74.0,30,38,-10.0
32750,Mauro Esposito,172.72,157,157,2007-02-22,77.0,2010-02-22,73.0,27,30,-4.0
32751,Massimo Ambrosini,182.88,159,159,2007-02-22,79.0,2014-05-09,74.0,29,36,-5.0
32752,Giuseppe Favalli,180.34,170,170,2007-02-22,77.0,2010-02-22,75.0,35,38,1.0
32755,Milivoje Vitakic,185.42,179,179,2007-02-22,67.0,2009-08-30,67.0,29,32,-1.0
32760,Milos Maric,177.8,176,176,2007-02-22,76.0,2016-05-12,66.0,24,34,-7.0
32761,Ruben Baraja,180.34,165,165,2007-02-22,82.0,2009-08-30,78.0,31,34,-2.0
32762,Vicente,177.8,159,159,2007-02-22,88.0,2013-07-12,72.0,25,31,-14.0
32763,"Alberto Luque,21",182.88,176,176,2007-02-22,79.0,2010-08-30,72.0,28,32,-2.0
32764,Raul Tamudo,180.34,163,163,2007-02-22,84.0,2015-06-05,67.0,29,37,-17.0
32765,Jose Maria Guti,182.88,172,172,2007-02-22,84.0,2011-02-22,81.0,30,34,-3.0
32766,Ivan de la Pena,170.18,157,157,2007-02-22,82.0,2011-02-22,73.0,30,34,-12.0
32769,Paolo Cannavaro,185.42,183,183,2007-02-22,76.0,2015-09-21,75.0,25,34,-1.0
32776,Issam Jemaa,185.42,176,176,2007-02-22,69.0,2012-02-22,67.0,23,28,-3.0
32786,Robert Jones,200.66,170,170,2007-02-22,63.0,2016-04-28,65.0,27,36,-6.0
32788,Joshua Kennedy,193.04,185,185,2007-02-22,69.0,2015-01-16,66.0,24,32,-2.0
32824,Martyn Corrigan,175.26,150,150,2007-02-22,60.0,2008-08-30,60.0,29,31,0.0
32825,Brian Kerr,177.8,146,146,2007-02-22,69.0,2009-02-22,63.0,25,27,-6.0
32826,Scott McDonald,172.72,172,172,2007-02-22,71.0,2016-03-10,68.0,23,32,-15.0
32827,Richie Foran,185.42,172,172,2007-02-22,66.0,2016-03-10,64.0,26,35,-4.0
32829,David Clarkson,177.8,148,148,2007-02-22,66.0,2015-09-25,64.0,21,30,-2.0
32830,Steven McGarry,175.26,172,172,2007-02-22,60.0,2014-01-03,60.0,27,34,-3.0
32831,Kevin McBride,177.8,141,141,2007-02-22,64.0,2015-01-09,60.0,25,33,6.0
32833,Paul Quinn,185.42,159,159,2007-02-22,61.0,2016-04-28,65.0,21,30,-2.0
32836,Marc Fitzpatrick,177.8,174,174,2007-02-22,62.0,2012-08-31,59.0,20,26,-10.0
32844,Mark Reynolds,180.34,150,150,2007-02-22,70.0,2016-03-31,70.0,19,28,0.0
32845,Alan Martin,182.88,165,165,2007-02-22,49.0,2016-01-21,60.0,18,27,11.0
32863,Thomas Buffel,175.26,150,150,2007-02-22,78.0,2016-04-28,71.0,26,35,-3.0
32865,Nacho Novo,175.26,154,154,2007-02-22,69.0,2014-03-14,64.0,27,34,-5.0
32866,Gavin Rae,180.34,146,146,2007-02-22,71.0,2013-05-31,64.0,29,35,-7.0
32867,Kris Boyd,185.42,183,183,2007-02-22,79.0,2016-03-10,69.0,23,32,-17.0
32868,Julien Rodriguez,182.88,176,176,2007-02-22,79.0,2011-08-30,54.0,28,33,-25.0
32870,Alan Hutton,185.42,161,161,2007-02-22,66.0,2016-03-10,73.0,22,31,0.0
32871,Ian Murray,182.88,154,154,2007-02-22,75.0,2012-02-22,62.0,25,30,-10.0
32880,Steven McDougall,180.34,146,146,2007-02-22,59.0,2011-08-30,59.0,20,25,0.0
32891,Danny Grainger,177.8,168,168,2007-02-22,69.0,2016-01-07,61.0,20,29,-8.0
32906,Neil McGregor,182.88,165,165,2007-02-22,60.0,2013-02-15,58.0,21,27,-2.0
32907,Craig Bryson,170.18,132,132,2007-02-22,65.0,2016-03-17,73.0,20,29,8.0
32917,Mark McLaughlin,187.96,185,185,2007-02-22,62.0,2011-02-22,62.0,31,35,0.0
32920,Rasmus Bengtsson,185.42,176,176,2007-02-22,52.0,2016-06-16,72.0,20,29,20.0
32924,Alex Neil,175.26,154,154,2007-02-22,64.0,2015-01-26,59.0,25,33,-5.0
32931,Paul Burns,177.8,141,141,2007-02-22,57.0,2011-08-30,57.0,22,27,0.0
32932,Willie Gibson,180.34,146,146,2007-02-22,61.0,2011-08-30,61.0,22,27,0.0
32937,Christian Poulsen,182.88,168,168,2007-02-22,77.0,2015-05-29,72.0,26,35,-6.0
32942,Don Cowie,177.8,161,161,2007-02-22,66.0,2016-02-11,66.0,24,32,0.0
32951,Willie Dyer,177.8,141,141,2007-02-22,57.0,2015-02-27,59.0,19,28,2.0
32952,Kevin Rutkiewicz,185.42,176,176,2007-02-22,62.0,2012-02-22,60.0,26,31,-2.0
32955,Martin Hardie,182.88,154,154,2007-02-22,63.0,2011-08-30,65.0,30,35,2.0
32956,Simon Mensing,182.88,154,154,2007-02-22,69.0,2011-02-22,64.0,24,28,-5.0
32957,Kevin Moon,177.8,146,146,2007-02-22,62.0,2012-08-31,62.0,19,25,0.0
32960,Peter MacDonald,177.8,161,161,2007-02-22,61.0,2014-09-18,61.0,26,33,0.0
32961,Steven Milne,170.18,146,146,2007-02-22,67.0,2013-04-19,59.0,26,32,-8.0
32964,Kirk Broadfoot,190.5,196,196,2007-02-22,68.0,2016-04-21,66.0,22,31,-5.0
32968,John Potter,185.42,183,183,2007-02-22,74.0,2015-01-09,63.0,27,35,-4.0
32969,David van Zanten,177.8,159,159,2007-02-22,63.0,2014-05-23,58.0,24,32,-9.0
32971,Mark Corcoran,177.8,157,157,2007-02-22,62.0,2012-08-31,62.0,26,31,-4.0
32973,Simon Lappin,180.34,132,132,2007-02-22,63.0,2016-04-21,63.0,24,33,0.0
32975,Hugh Murray,177.8,148,148,2007-02-22,64.0,2012-02-22,60.0,28,33,-4.0
