player_api_id,player_name,altura,peso_incial,peso_final,primeira_data,primeiro_overall,ultima_data,ultimo_overall,idade_inicial,idade_final,evolucao,season_first,season_last,season
34531,Bernardo Corradi,190.5,190,190,2007-02-22,81.0,2012-08-31,70.0,30,36,-8.0,2006/2007,2012/2013,2012/2013
34534,Gianluca Zambrotta,180.34,168,168,2007-02-22,86.0,2012-02-22,76.0,30,35,-9.0,2006/2007,2011/2012,2011/2012
34540,Mark Bresciano,175.26,168,168,2007-02-22,79.0,2014-09-18,70.0,27,34,-9.0,2006/2007,2014/2015,2014/2015
34543,Carlton Cole,190.5,194,194,2007-02-22,73.0,2016-04-28,70.0,23,32,-3.0,2006/2007,2015/2016,2015/2016
34551,Pedro Pele Monteiro,185.42,190,190,2007-02-22,66.0,2010-02-22,64.0,28,31,-1.0,2006/2007,2009/2010,2009/2010
34563,Morgaro Gomis,175.26,154,154,2007-02-22,50.0,2016-06-09,64.0,21,30,14.0,2006/2007,2015/2016,2015/2016
34567,Herold Goulon,195.58,212,212,2007-02-22,50.0,2015-01-09,68.0,18,26,18.0,2006/2007,2014/2015,2014/2015
34574,Damien Duff,177.8,165,165,2007-02-22,81.0,2015-09-25,71.0,27,36,-5.0,2006/2007,2015/2016,2015/2016
34575,Asier del Horno,182.88,154,154,2007-02-22,80.0,2012-02-22,72.0,26,31,-8.0,2006/2007,2011/2012,2011/2012
34580,Fabiano,182.88,174,174,2007-02-22,63.0,2012-02-22,65.0,22,27,2.0,2006/2007,2011/2012,2011/2012
34582,Mate Bilic,185.42,179,179,2007-02-22,73.0,2013-05-24,68.0,26,32,-1.0,2006/2007,2012/2013,2012/2013
34590,Radoslav Kovac,187.96,172,172,2007-02-22,73.0,2012-08-31,60.0,27,32,-13.0,2006/2007,2012/2013,2012/2013
34601,Jermaine Pennant,172.72,150,150,2007-02-22,77.0,2015-02-27,73.0,24,32,-9.0,2006/2007,2014/2015,2014/2015
34602,Ruud van Nistelrooy,187.96,176,176,2007-02-22,87.0,2012-02-22,77.0,30,35,-8.0,2006/2007,2011/2012,2011/2012
34622,Graham Gartland,187.96,181,181,2007-02-22,58.0,2014-02-07,56.0,23,30,-2.0,2006/2007,2013/2014,2013/2014
34633,Nene,182.88,172,172,2007-02-22,61.0,2016-04-21,72.0,23,32,11.0,2006/2007,2015/2016,2015/2016
34650,Alex Silva,193.04,179,179,2007-02-22,76.0,2013-08-02,73.0,21,28,-3.0,2006/2007,2013/2014,2013/2014
34653,Pablo Aimar,170.18,137,137,2007-02-22,83.0,2015-07-03,77.0,27,35,-8.0,2006/2007,2015/2016,2015/2016
34654,Souleymane Bamba,190.5,190,190,2007-02-22,59.0,2016-03-03,71.0,22,31,12.0,2006/2007,2015/2016,2015/2016
34656,Chris Smith,187.96,190,190,2007-02-22,62.0,2013-02-15,59.0,20,26,-4.0,2006/2007,2012/2013,2012/2013
34662,Vitor Lima,177.8,141,141,2007-02-22,62.0,2009-08-30,62.0,25,28,0.0,2006/2007,2009/2010,2009/2010
34675,Roger,182.88,190,190,2007-02-22,65.0,2016-03-17,74.0,21,30,9.0,2006/2007,2015/2016,2015/2016
34681,Renato Augusto,185.42,187,187,2007-02-22,66.0,2014-07-18,76.0,19,26,-2.0,2006/2007,2014/2015,2014/2015
34698,Michael Lumb,177.8,168,168,2007-02-22,64.0,2015-03-20,64.0,19,27,0.0,2006/2007,2014/2015,2014/2015
34699,Mike Tullberg,187.96,187,187,2007-02-22,61.0,2010-08-30,55.0,21,24,-6.0,2006/2007,2010/2011,2010/2011
34763,Nicklas Pedersen,187.96,185,185,2007-02-22,52.0,2016-04-21,70.0,19,28,18.0,2006/2007,2015/2016,2015/2016
34942,Patrick Vieira,193.04,181,181,2007-02-22,85.0,2011-02-22,76.0,30,34,-9.0,2006/2007,2010/2011,2010/2011
34944,Michael Carrick,187.96,163,163,2007-02-22,83.0,2016-03-24,80.0,25,34,-3.0,2006/2007,2015/2016,2015/2016
34945,Rudolf Skacel,177.8,170,170,2007-02-22,69.0,2012-02-22,72.0,27,32,-1.0,2006/2007,2011/2012,2011/2012
34946,Lee Croft,175.26,176,176,2007-02-22,67.0,2015-09-21,62.0,21,30,-8.0,2006/2007,2015/2016,2015/2016
34947,"Bennedict McCarthy,27",182.88,192,192,2007-02-22,83.0,2013-03-08,73.0,29,35,-13.0,2006/2007,2012/2013,2012/2013
34952,Daniele Bonera,182.88,163,163,2007-02-22,83.0,2016-05-12,76.0,25,34,-7.0,2006/2007,2015/2016,2015/2016
34956,Mista,182.88,163,163,2007-02-22,81.0,2010-08-30,68.0,28,31,-11.0,2006/2007,2010/2011,2010/2011
34967,Diego Barcelos,172.72,157,157,2007-02-22,70.0,2014-04-11,73.0,21,29,3.0,2006/2007,2013/2014,2013/2014
34969,Javier Chevanton,175.26,150,150,2007-02-22,82.0,2013-11-22,70.0,26,33,-12.0,2006/2007,2013/2014,2013/2014
34971,Christian Tiffert,182.88,174,174,2007-02-22,75.0,2014-04-04,69.0,25,32,-6.0,2006/2007,2013/2014,2013/2014
34972,Ivan Pejcic,182.88,165,165,2007-02-22,60.0,2010-02-22,57.0,24,27,-3.0,2006/2007,2009/2010,2009/2010
34983,Alvaro Santos,180.34,194,194,2007-02-22,62.0,2014-11-14,61.0,27,34,-1.0,2006/2007,2014/2015,2014/2015
34987,Mario Melchiot,187.96,176,176,2007-02-22,75.0,2009-08-30,76.0,30,32,0.0,2006/2007,2009/2010,2009/2010
35022,Kevin Conboy,185.42,170,170,2007-02-22,49.0,2016-03-17,67.0,19,28,18.0,2006/2007,2015/2016,2015/2016
35110,Winston Reid,190.5,192,192,2007-02-22,63.0,2016-04-14,80.0,18,27,12.0,2006/2007,2015/2016,2015/2016
35112,Simon Kjaer,187.96,198,198,2007-02-22,60.0,2015-11-06,80.0,17,26,20.0,2006/2007,2015/2016,2015/2016
35116,Oluwafemi Ajilore,182.88,172,172,2007-02-22,54.0,2015-01-09,64.0,22,29,-1.0,2006/2007,2014/2015,2014/2015
35121,Jesper Juelsgaard,180.34,181,181,2007-02-22,48.0,2016-03-10,67.0,18,27,19.0,2006/2007,2015/2016,2015/2016
35125,Leon Jessen,182.88,170,170,2007-02-22,59.0,2015-11-26,65.0,20,29,6.0,2006/2007,2015/2016,2015/2016
35244,Andre Dias,182.88,176,176,2007-02-22,78.0,2014-04-04,75.0,27,34,3.0,2006/2007,2013/2014,2013/2014
35324,Antonio Barragan,185.42,183,183,2007-02-22,74.0,2016-03-24,75.0,19,28,0.0,2006/2007,2015/2016,2015/2016
35327,Antonio Valencia,180.34,172,172,2007-02-22,77.0,2016-05-05,75.0,21,30,-1.0,2006/2007,2015/2016,2015/2016
35336,Kyle Letheren,187.96,183,183,2007-02-22,62.0,2015-09-21,63.0,19,27,1.0,2006/2007,2015/2016,2015/2016
35338,Jay Bothroyd,190.5,183,183,2007-02-22,72.0,2013-03-28,70.0,24,30,-2.0,2006/2007,2012/2013,2012/2013
