player_api_id,player_name,altura,peso_incial,peso_final,primeira_data,primeiro_overall,ultima_data,ultimo_overall,idade_inicial,idade_final
37548,Carlos Martins,172.72,159,159,2007-02-22,78.0,2016-03-24,76.0,24,33
37549,Joao Moutinho,170.18,134,134,2007-02-22,78.0,2016-03-10,83.0,20,29
37550,Hugo Almeida,190.5,214,214,2007-02-22,76.0,2016-01-21,75.0,22,31
37552,Kevin Phillips,170.18,154,154,2007-02-22,81.0,2014-02-14,67.0,33,40
37553,Jean-Alain Boumsong,190.5,194,194,2007-02-22,76.0,2012-08-31,77.0,27,32
37554,Guillaume Hoarau,193.04,176,176,2007-02-22,59.0,2015-09-21,74.0,22,31
37558,Dimitar Rangelov,182.88,176,176,2007-02-22,56.0,2016-05-19,69.0,23,33
37560,Benoit Lesoimier,172.72,148,148,2007-02-22,60.0,2015-04-10,67.0,24,32
37567,Johan Cavalli,170.18,143,143,2007-02-22,58.0,2016-05-12,70.0,25,34
37571,Mohamed Chakouri,180.34,163,163,2007-02-22,56.0,2010-08-30,61.0,20,24
37576,Javier Saviola,167.64,154,154,2007-02-22,81.0,2015-10-16,75.0,25,33
37577,Walid Regragui,177.8,146,146,2007-02-22,67.0,2008-08-30,67.0,31,32
37579,Tono,182.88,176,176,2007-02-22,71.0,2015-09-21,75.0,27,35
37580,Javier Balboa,182.88,163,163,2007-02-22,69.0,2016-05-19,69.0,21,31
37581,Ezequiel Garay,187.96,176,176,2007-02-22,65.0,2015-10-16,83.0,20,29
37597,Pedro Lopez,175.26,159,159,2007-02-22,68.0,2016-05-12,72.0,23,32
37604,Fernando Amorebieta,190.5,185,185,2007-02-22,71.0,2016-02-04,72.0,21,30
37605,Joseba Garmendia,182.88,159,159,2007-02-22,67.0,2014-05-09,62.0,21,28
37622,Mane,175.26,150,150,2007-02-22,61.0,2015-03-20,70.0,25,33
37623,Roberto,193.04,190,190,2007-02-22,61.0,2016-02-18,80.0,21,30
37631,Mario Suarez,187.96,176,176,2007-02-22,72.0,2016-03-10,78.0,19,29
37643,Oleguer,187.96,181,181,2007-02-22,83.0,2010-08-30,72.0,27,30
37645,Andrea Orlandi,180.34,172,172,2007-02-22,52.0,2015-05-01,69.0,22,30
37651,Ludovic Sylvestre,182.88,168,168,2007-02-22,70.0,2016-04-28,65.0,23,32
37653,Oriol Riera,182.88,172,172,2007-02-22,55.0,2016-02-19,72.0,20,29
37654,Paco Montanes,172.72,154,154,2007-02-22,62.0,2015-09-21,74.0,20,28
37656,Ruben,187.96,176,176,2007-02-22,64.0,2016-01-07,74.0,22,31
37657,Izidoro Gomez,180.34,157,157,2007-02-22,62.0,2015-11-26,67.0,20,29
37666,Juande,182.88,165,165,2007-02-22,62.0,2015-09-21,68.0,20,29
37667,Melli,182.88,172,172,2007-02-22,70.0,2013-06-07,69.0,22,29
37672,Victoriano Rivas Nano,185.42,176,176,2007-02-22,74.0,2011-08-30,73.0,26,31
37678,Tobias Sippel,180.34,172,172,2007-02-22,63.0,2016-03-31,73.0,18,28
37681,Josh Simpson,182.88,170,170,2007-02-22,58.0,2013-09-20,69.0,23,30
37684,Daniel de Ridder,180.34,165,165,2007-02-22,72.0,2014-11-07,66.0,22,30
37718,Sergio Fernandez,190.5,179,179,2007-02-22,75.0,2012-08-31,71.0,29,35
37721,Roberto Sousa,177.8,165,165,2007-02-22,69.0,2012-02-22,69.0,22,27
37731,Florian Heller,177.8,170,170,2007-02-22,63.0,2013-05-17,65.0,24,31
37733,Marco Kurth,177.8,161,161,2007-02-22,64.0,2011-08-30,62.0,28,33
37753,Francis Dickoh,187.96,187,187,2007-02-22,69.0,2016-05-05,63.0,24,33
37754,Carlos Diogo,185.42,174,174,2007-02-22,72.0,2014-09-18,66.0,23,31
37755,Stephen Dobbie,172.72,143,143,2007-02-22,64.0,2015-12-17,66.0,24,33
37756,Johan Audel,180.34,165,165,2007-02-22,74.0,2016-05-05,71.0,23,32
37760,Nikos Liberopoulos,185.42,165,165,2007-02-22,76.0,2012-02-22,74.0,31,36
37762,Jan Vertonghen,187.96,190,190,2007-02-22,67.0,2016-03-17,82.0,19,28
37764,Andre Ooijer,185.42,183,183,2007-02-22,80.0,2012-02-22,67.0,32,37
37767,Giuseppe Sculli,177.8,165,165,2007-02-22,72.0,2014-11-07,71.0,25,33
37768,Ciro Capuano,185.42,172,172,2007-02-22,51.0,2015-05-01,67.0,25,33
37770,Kasper Schmeichel,185.42,168,168,2007-02-22,72.0,2016-05-12,78.0,20,29
37774,Gary Harkins,187.96,179,179,2007-02-22,45.0,2016-03-10,66.0,22,31
37779,Lewis Grabban,182.88,172,172,2007-02-22,53.0,2016-02-19,69.0,19,28
37780,Darren Randolph,185.42,176,176,2007-02-22,57.0,2016-04-21,73.0,19,28
37783,Edu,185.42,176,176,2007-02-22,72.0,2015-07-03,74.0,25,33
37787,Joris Mathijsen,182.88,159,159,2007-02-22,72.0,2015-01-16,72.0,26,34
37789,Robbert Schilder,177.8,172,172,2007-02-22,54.0,2016-02-04,68.0,20,29
37791,Mathieu Berson,180.34,161,161,2007-02-22,70.0,2009-08-30,69.0,26,29
37793,Antonio Tomas,175.26,165,165,2007-02-22,67.0,2015-10-16,66.0,22,30
37798,Jan Vennegoor of Hesselink,190.5,203,203,2007-02-22,82.0,2012-02-22,71.0,28,33
37799,Obafemi Martins,170.18,161,161,2007-02-22,81.0,2016-02-25,79.0,22,31
37804,Nicolas Anelka,185.42,176,176,2007-02-22,80.0,2014-03-14,77.0,27,35
37806,Gil Vermouth,175.26,157,157,2007-02-22,70.0,2012-08-31,67.0,21,27
37811,Marco Ritzberger,187.96,179,179,2007-02-22,53.0,2009-02-22,53.0,20,22
37823,Enar Jaeaeger,177.8,163,163,2007-02-22,62.0,2016-04-28,66.0,22,31
37824,Joaquin,177.8,165,165,2007-02-22,87.0,2016-05-12,79.0,25,34
37839,Bart Deelkens,187.96,185,185,2007-02-22,63.0,2011-08-30,64.0,28,33
37841,Marc Hendrikx,182.88,179,179,2007-02-22,61.0,2010-08-30,61.0,32,36
37844,Vilmos Vanczak,187.96,174,174,2007-02-22,60.0,2016-03-10,65.0,23,32
37845,Xisco,187.96,168,168,2007-02-22,75.0,2015-10-16,71.0,20,29
37846,Asanda Sishuba,167.64,143,143,2007-02-22,62.0,2010-02-22,62.0,26,29
37854,Frank Boeckx,180.34,187,187,2007-02-22,56.0,2015-09-25,68.0,20,28
37856,Henri Munyaneza,185.42,183,183,2007-02-22,61.0,2009-02-22,63.0,22,24
37858,Jeroen Simaeys,193.04,176,176,2007-02-22,66.0,2016-02-25,72.0,21,30
37861,Landry Mulemo,177.8,170,170,2007-02-22,62.0,2014-09-18,65.0,20,28
37865,Nicky Hayen,187.96,185,185,2007-02-22,63.0,2012-02-22,62.0,26,31
37866,Peter Delorge,177.8,152,152,2007-02-22,63.0,2012-02-22,65.0,26,31
37868,Simon Mignolet,193.04,192,192,2007-02-22,64.0,2016-03-17,78.0,18,27
37871,Jonathan Soriano,177.8,154,154,2007-02-22,78.0,2015-09-21,75.0,21,29
37879,Marc Torrejon Moya,187.96,192,192,2007-02-22,66.0,2016-04-21,73.0,21,30
37886,Karel D'Haene,182.88,172,172,2007-02-22,68.0,2016-03-24,67.0,26,35
37887,Loris Reina,180.34,159,159,2007-02-22,65.0,2011-02-22,64.0,26,30
37889,Bart Buysse,177.8,154,154,2007-02-22,54.0,2016-03-03,66.0,20,29
37893,Ludwig van Nieuwenhuyze,185.42,176,176,2007-02-22,65.0,2011-02-22,66.0,28,32
37900,Sammy Bossuyt,185.42,172,172,2007-02-22,57.0,2016-04-28,71.0,21,30
37902,Stijn Meert,177.8,154,154,2007-02-22,66.0,2010-08-30,65.0,28,32
37903,Stijn Minne,170.18,150,150,2007-02-22,57.0,2012-02-22,64.0,28,33
37909,Tony Sergeant,182.88,163,163,2007-02-22,68.0,2012-02-22,64.0,29,34
37916,Miguel Robuste,182.88,172,172,2007-02-22,61.0,2014-03-28,64.0,21,28
37920,Albert Riera,187.96,183,183,2007-02-22,74.0,2015-04-10,74.0,24,32
37937,Davino Verhulst,193.04,198,198,2007-02-22,55.0,2016-04-14,70.0,19,28
37943,Kristof Lardenoit,182.88,165,165,2007-02-22,63.0,2013-07-12,63.0,23,30
37944,Laurent Macquet,177.8,170,170,2007-02-22,68.0,2010-08-30,61.0,27,31
37945,Mahamadou Dissa,172.72,150,150,2007-02-22,63.0,2010-02-22,63.0,27,30
37947,Sekou Ouattara,180.34,159,159,2007-02-22,55.0,2008-08-30,55.0,20,22
37950,Gervinho,177.8,146,146,2007-02-22,65.0,2016-02-04,80.0,19,28
37952,Dieter van Tornhout,190.5,190,190,2007-02-22,64.0,2012-02-22,63.0,21,26
37953,Gunther Vanaudenaerde,177.8,168,168,2007-02-22,63.0,2013-10-11,65.0,23,29
37957,Sergiy Serebrennikov,185.42,192,192,2007-02-22,69.0,2011-02-22,65.0,30,34
37963,Jorn Vermeulen,185.42,172,172,2007-02-22,59.0,2015-05-08,63.0,19,28
37965,Birger Maertens,182.88,196,196,2007-02-22,69.0,2015-01-23,65.0,26,34
37967,Daniel Chavez,175.26,152,152,2007-02-22,67.0,2015-09-21,65.0,19,27
37968,Elrio van Heerden,167.64,146,146,2007-02-22,68.0,2011-02-22,67.0,23,27
37970,"Manuel Lara Martinez,26",182.88,181,181,2007-02-22,62.0,2016-04-28,64.0,26,35
37971,Glenn Verbauwhede,187.96,176,176,2007-02-22,63.0,2012-02-22,68.0,21,26
37972,Gregory Dufer,175.26,154,154,2007-02-22,67.0,2012-02-22,66.0,25,30
37976,Jason Vandelannoite,177.8,176,176,2007-02-22,66.0,2008-08-30,64.0,20,21
37978,Jeanvion Yulu-Matondo,177.8,163,163,2007-02-22,69.0,2012-02-22,63.0,21,26
37979,Jonathan Blondel,172.72,146,146,2007-02-22,71.0,2014-09-23,68.0,22,30
37981,Kevin Roelandts,185.42,179,179,2007-02-22,69.0,2012-02-22,67.0,24,29
37983,Koen Daerden,190.5,185,185,2007-02-22,74.0,2012-02-22,67.0,24,29
37984,Mannaseh Ishiaku,182.88,181,181,2007-02-22,71.0,2011-02-22,66.0,24,28
37986,Mustapha Diallo,190.5,165,165,2007-02-22,63.0,2016-05-05,71.0,20,29
37988,Philippe Clement,190.5,192,192,2007-02-22,71.0,2011-02-22,64.0,32,36
37990,Stijn Stijnen,187.96,183,183,2007-02-22,70.0,2013-05-17,69.0,25,32
37992,Timothy Dreesen,190.5,181,181,2007-02-22,69.0,2014-11-14,62.0,20,27
37993,Yves Lenaerts,187.96,176,176,2007-02-22,63.0,2016-02-11,63.0,23,32
37996,Mustapha Riga,177.8,165,165,2007-02-22,70.0,2010-08-30,71.0,25,28
38004,Carmelo Gonzalez,180.34,154,154,2007-02-22,74.0,2013-02-15,66.0,23,29
38008,Txomin Nagore,182.88,174,174,2007-02-22,69.0,2014-04-11,65.0,32,39
38025,Nacho Perez,175.26,154,154,2007-02-22,72.0,2014-04-11,72.0,26,33
38035,"Fernandez Aitor Tornavaca,29",175.26,154,154,2007-02-22,73.0,2012-02-22,63.0,30,35
38036,Rafael Barber,182.88,170,170,2007-02-22,67.0,2013-05-31,59.0,26,32
38044,Ikechukwu Uche,177.8,157,157,2007-02-22,78.0,2016-02-04,77.0,23,32
38060,Edgar Alvarez,172.72,168,168,2007-02-22,77.0,2012-02-22,73.0,27,32
38064,Francisco Molinero,175.26,159,159,2007-02-22,72.0,2015-09-21,72.0,21,30
38065,Jose Antonio Garcia Calvo,185.42,170,170,2007-02-22,76.0,2009-02-22,74.0,31,33
38066,Jeff Strasser,190.5,181,181,2007-02-22,73.0,2010-02-22,61.0,32,35
38067,Chris Gunter,180.34,157,157,2007-02-22,53.0,2016-04-21,70.0,17,26
38071,Kevin Kyle,190.5,183,183,2007-02-22,72.0,2013-03-22,59.0,25,31
38075,Dermot McCaffrey,180.34,152,152,2007-02-22,63.0,2013-09-20,56.0,20,27
38076,Hamed Namouchi,182.88,163,163,2007-02-22,63.0,2011-02-22,63.0,23,27
38077,Sam Parkin,187.96,183,183,2007-02-22,70.0,2014-01-03,58.0,25,32
38084,Mateja Kezman,180.34,163,163,2007-02-22,83.0,2010-08-30,72.0,27,31
38092,Mark Stewart,170.18,146,146,2007-02-22,62.0,2014-04-25,57.0,18,25
38098,Andre-Pierre Gignac,187.96,185,185,2007-02-22,56.0,2016-03-10,81.0,21,30
38100,Anilton,185.42,170,170,2007-02-22,58.0,2015-01-09,65.0,26,34
38103,Edwin de Graaf,185.42,174,174,2007-02-22,69.0,2012-02-22,64.0,26,31
38108,Habib Bamogo,175.26,159,159,2007-02-22,73.0,2012-02-22,69.0,24,29
38111,Jeremy Henin,185.42,172,172,2007-02-22,66.0,2014-02-28,64.0,29,36
38113,Claudio Lito,170.18,143,143,2007-02-22,61.0,2010-08-30,66.0,32,35
38118,Nicolas Andres Cordova,175.26,165,165,2007-02-22,73.0,2012-02-22,66.0,28,33
38122,Adriano Russo,185.42,159,159,2007-02-22,63.0,2015-12-03,67.0,19,28
38131,Alejandro Alfaro,175.26,161,161,2007-02-22,50.0,2016-04-28,71.0,20,29
38136,Carlos Reina Aranda,185.42,181,181,2007-02-22,70.0,2014-12-27,69.0,26,34
38138,David Prieto,185.42,174,174,2007-02-22,68.0,2014-03-28,61.0,24,31
38139,Diego Capel,172.72,148,148,2007-02-22,68.0,2016-04-28,75.0,19,28
38148,Jose Angel Crespo,182.88,159,159,2007-02-22,64.0,2016-01-21,70.0,20,28
38151,Lolo,182.88,159,159,2007-02-22,56.0,2015-10-16,67.0,22,31
38160,Marti Soler,180.34,168,168,2007-02-22,70.0,2015-02-27,66.0,31,39
38162,"Alves Justino Jorge Luiz,28",193.04,176,176,2007-02-22,70.0,2013-05-31,67.0,24,31
38167,Thomas Kleine,190.5,181,181,2007-02-22,72.0,2014-09-18,62.0,29,36
38170,Andre Mijatovic,190.5,176,176,2007-02-22,64.0,2015-03-27,64.0,27,35
38178,Juri Judt,172.72,159,159,2007-02-22,54.0,2012-02-22,69.0,20,25
38181,Stephan Schrock,170.18,150,150,2007-02-22,60.0,2015-10-30,70.0,20,29
38182,Torsten Oehrl,193.04,187,187,2007-02-22,64.0,2015-01-16,67.0,21,29
38183,Christian Timm,180.34,161,161,2007-02-22,68.0,2011-08-30,63.0,27,32
38186,Dejan Kelhar,187.96,187,187,2007-02-22,63.0,2015-02-27,62.0,22,30
38188,Martin Lanig,190.5,174,174,2007-02-22,52.0,2015-01-28,72.0,22,30
38190,Stefan Reisinger,185.42,181,181,2007-02-22,68.0,2014-01-10,70.0,25,32
38206,Alexander Iashvili,175.26,157,157,2007-02-22,70.0,2013-04-26,64.0,29,35
38212,Boubacar Diarra,185.42,190,190,2007-02-22,66.0,2010-02-22,64.0,27,30
38213,Andreas Ibertsberger,177.8,170,170,2007-02-22,72.0,2013-03-01,68.0,24,30
