player_api_id,player_name,rating_inicial,rating_final,evolucao
13034,Michalis Sifakis,74.0,69.0,-5.0
13131,Tomislav Pacovski,64.0,66.0,2.0
13191,Ioannis Maniatis,71.0,73.0,2.0
13225,Fabian Pawela,57.0,61.0,4.0
13301,Kamil Kuzera,55.0,64.0,9.0
13320,Krzysztof Kotorowski,58.0,65.0,7.0
13327,Pawel Sasin,64.0,60.0,-4.0
13329,Blazej Telichowski,59.0,62.0,3.0
13334,Lukasz Madej,62.0,65.0,3.0
13345,Pawel Kieszek,67.0,75.0,8.0
13349,Antoni Lukasiewicz,67.0,58.0,-9.0
13350,Wojciech Szymanek,60.0,59.0,-1.0
13376,Jakub Rzezniczak,61.0,70.0,9.0
13383,Maciej Korzym,60.0,62.0,2.0
13390,Wojciech Skaba,60.0,59.0,-1.0
13405,Marcin Malinowski,60.0,64.0,4.0
13410,Mariusz Zganiacz,64.0,64.0,0.0
13423,Marcin Wasilewski,70.0,72.0,2.0
13425,Wahan Gevorgyan,60.0,62.0,2.0
13428,Slawomir Peszko,61.0,69.0,8.0
13436,Krzysztof Pilarz,55.0,64.0,9.0
13437,Piotr Celeban,55.0,71.0,16.0
13449,Lukasz Tralka,55.0,70.0,15.0
13454,Sebastian Przyrowski,61.0,60.0,-1.0
13471,Radoslaw Cierzniak,64.0,66.0,2.0
13472,Arkadiusz Malarz,63.0,65.0,2.0
13473,Maciej Mielcarz,60.0,62.0,2.0
13474,Jaroslaw Bieniuk,64.0,66.0,2.0
13476,Dawid Kucharski,61.0,63.0,2.0
13477,Tomasz Lisowski,56.0,65.0,9.0
13480,Grzegorz Wojtkowiak,66.0,67.0,1.0
13481,Hubert Wolakiewicz,51.0,62.0,11.0
13483,Filip Burkhardt,59.0,58.0,-1.0
13486,Marcin Kikut,67.0,62.0,-5.0
13490,Szymon Sawala,54.0,61.0,7.0
13494,Jakub Szmatula,61.0,66.0,5.0
13504,Mateusz Zytko,57.0,60.0,3.0
13513,Pawel Strak,70.0,56.0,-14.0
13515,Lukasz Mierzejewski,60.0,62.0,2.0
13518,Lukasz Piszczek,65.0,80.0,15.0
13533,Piotr Polczak,55.0,67.0,12.0
13538,Dawid Plizga,62.0,66.0,4.0
13549,Vejlko Nikitovic,59.0,61.0,2.0
13551,Tomasz Brzyski,59.0,69.0,10.0
13554,Mariusz Pawelec,55.0,66.0,11.0
13557,Dawid Soldecki,61.0,61.0,0.0
13917,Liam Kelly,54.0,65.0,11.0
14039,Paul Dixon,60.0,67.0,7.0
14100,Alan Mannus,55.0,68.0,13.0
14487,Roei Dayan,68.0,64.0,-4.0
14521,Maor Melikson,66.0,73.0,7.0
14533,Gal Alberman,72.0,71.0,-1.0
14551,Dekel Keinan,64.0,65.0,1.0
14557,Lior Rafaelov,73.0,77.0,4.0
14560,Eden Ben Basat,67.0,73.0,6.0
14593,Eliran Atar,72.0,69.0,-3.0
14642,Yoav Ziv,62.0,66.0,4.0
14658,Vladimir Dvalishvili,62.0,67.0,5.0
15361,Jasmin Buric,49.0,70.0,21.0
15403,Edin Dzeko,64.0,80.0,16.0
15425,Veldin Muharemovic,53.0,57.0,4.0
15456,Josip Barisic,59.0,59.0,0.0
15608,Amir Spahic,49.0,59.0,10.0
15652,Ivica Dzidic,56.0,56.0,0.0
15661,Davor Landeka,52.0,58.0,6.0
15662,Sulejman Smajic,62.0,66.0,4.0
15732,Ivan Radovanovic,64.0,73.0,9.0
15905,Stanley Aborah,66.0,65.0,-1.0
15913,Dimitrija Lazarevski,59.0,59.0,0.0
15938,Jovan Kostovski,64.0,66.0,2.0
16199,Boban Bajkovic,68.0,67.0,-1.0
16210,Marko Perovic,63.0,70.0,7.0
16218,Simon Vukcevic,75.0,71.0,-4.0
16230,Milan Smiljanic,70.0,62.0,-8.0
16254,Dusan Veskovac,55.0,70.0,15.0
16292,Branko Lazarevic,63.0,62.0,-1.0
16300,Gojko Kacar,72.0,72.0,0.0
16323,Nikola Nikezic,62.0,61.0,-1.0
16351,Aleksandar Kolarov,72.0,78.0,6.0
16362,Andjelko Djuricic,68.0,68.0,0.0
16368,Savo Pavicevic,67.0,67.0,0.0
16387,Mladen Lazarevic,57.0,61.0,4.0
16428,Ivan Stevanovic,65.0,65.0,0.0
16475,Nikola Vukcevic,72.0,73.0,1.0
16493,Pavle Ninkov,70.0,68.0,-2.0
16511,Konstantin Vassiljev,65.0,71.0,6.0
16636,Mikhail Sivakov,50.0,61.0,11.0
16678,Anton Putsila,50.0,70.0,20.0
17233,Zlatko Janjic,63.0,65.0,2.0
17259,Marnix Kolder,64.0,65.0,1.0
17276,Aloys Nong,62.0,68.0,6.0
17296,Claude Gnakpa,44.0,58.0,14.0
17299,Carlos Carmona,69.0,72.0,3.0
17312,Anther Yahia,76.0,64.0,-12.0
17319,Kenny Deuchar,63.0,65.0,2.0
17343,David Barron,48.0,59.0,11.0
17361,Iain Davidson,58.0,56.0,-2.0
17391,Andy Jackson,63.0,61.0,-2.0
17480,Martin Canning,65.0,63.0,-2.0
17525,Jim McAlister,60.0,64.0,4.0
17528,Chris Millar,61.0,62.0,1.0
17568,Gavin Skelton,60.0,61.0,1.0
17600,Darren McGregor,62.0,63.0,1.0
17606,Liam Buchanan,61.0,59.0,-2.0
17620,Stuart Kettlewell,62.0,61.0,-1.0
17703,Jeremy Perbet,69.0,72.0,3.0
17711,Gareth Wardlaw,62.0,62.0,0.0
17749,Iain Vigurs,62.0,67.0,5.0
17761,Jacob Mulenga,66.0,69.0,3.0
17762,Ghislain Gimbert,60.0,69.0,9.0
17806,Nassim Akrour,63.0,65.0,2.0
17836,Angelo,69.0,67.0,-2.0
17848,Robert Braber,60.0,64.0,4.0
17855,Edouard Duplan,61.0,72.0,11.0
17866,Andrew Reid,75.0,70.0,-5.0
17869,Dusan Kuciak,68.0,72.0,4.0
17875,Jordan Loties,65.0,70.0,5.0
17883,"Emanuel Obiora Odita,19",63.0,65.0,2.0
17887,Matt Done,51.0,63.0,12.0
18164,Mariano Pavone,77.0,70.0,-7.0
18376,Matias Fritzler,68.0,66.0,-2.0
18384,Diego Valeri,77.0,77.0,0.0
